,S. No.,Message_body,Label,cleaned
292,293,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",Non-Spam,best msg hard person u know one step foward make u fall love amp one step back ruin ur friendship good night
320,321,"K I'm leaving soon, be there a little after 9",Non-Spam,k leav soon littl
16,17,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,Non-Spam,yeh indian wa nice tho kane bit shud go drink sometim soon mite hav go da work laugh soon love pete x x
928,929,Captain vijaykanth is doing comedy in captain tv..he is drunken :),Non-Spam,captain vijaykanth comedi captain tv drunken
752,753,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,Non-Spam,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear
853,854,Big brothers really scraped the barrel with this shower of social misfits,Non-Spam,big brother realli scrape barrel thi shower social misfit
896,897,"I didnt get ur full msg..sometext is missing, send it again",Non-Spam,didnt get ur full msg sometext miss send
797,798,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,Non-Spam,watev relat u built di world onli thing remain atlast iz lonlin lotz n lot memori feel
461,462,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,Non-Spam,realli need kiss u miss u babi ur babi eva
484,485,Hey happy birthday...,Non-Spam,hey happi birthday
839,840,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",Spam,mobil mth updat latest camera video phone free keep ur number get extra free min text text ye call
138,139,Thanx a lot 4 ur help!,Non-Spam,thanx lot ur help
243,244,What makes you most happy?,Non-Spam,make happi
67,68,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",Non-Spam,perhap much easi give account identif tomorrow uni
478,479,"St andre, virgil's cream",Non-Spam,st andr virgil cream
1,2,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,Non-Spam,guy bitch act like interest buy someth el next week gave us free
776,777,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,Non-Spam,yup izzit still rain heavili co e mrt c outsid
123,124,So that takes away some money worries,Non-Spam,take away money worri
670,671,2 and half years i missed your friendship:-),Non-Spam,half year miss friendship
110,111,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,Spam,decemb mobil mth entitl updat latest colour camera mobil free call mobil updat co free
651,652,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! ,Non-Spam,took hooch walk toaday fell splat graze knee everyth stay home see tomorrow
493,494,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,Non-Spam,want sent lt gt mesag today sorri hurt
845,846,"Yup. Anything lor, if u dun wan it's ok...",Non-Spam,yup anyth lor u dun wan ok
142,143,You didnt complete your gist oh.,Non-Spam,didnt complet gist oh
345,346,If I die I want u to have all my stuffs.,Non-Spam,die want u stuff
506,507,"Sorry, I'll call you  later. I am in meeting sir.",Non-Spam,sorri call later meet sir
463,464,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,Non-Spam,wnt buy bmw car urgent vri urgent hv shortag lt gt lac ther sourc arng di amt lt gt lac prob
194,195,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,Non-Spam,want leav bare stay sane fight constantli help
172,173,Hi. Hope you had a good day. Have a better night.,Non-Spam,hi hope good day better night
879,880,Eatin my lunch...,Non-Spam,eatin lunch
462,463,Ding me on ya break fassyole! Blacko from londn,Non-Spam,ding ya break fassyol blacko londn
811,812,U wan 2 haf lunch i'm in da canteen now.,Non-Spam,u wan haf lunch da canteen
538,539,Go chase after her and run her over while she's crossing the street,Non-Spam,go chase run cross street
954,955,Sorry da. I gone mad so many pending works what to do.,Non-Spam,sorri da gone mad mani pend work
380,381,Okie,Non-Spam,oki
468,469,"Aight, call me once you're close",Non-Spam,aight call onc r close
316,317,Please tell me not all of my car keys are in your purse,Non-Spam,plea tell car key pur
64,65,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,Non-Spam,god love ha limit god grace ha measur god power ha boundari may u god endless bless alway ur life gud ni
842,843,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",Spam,free game get rayman golf free game arcad st get ur game set repli post save activ press key arcad termsappli
88,89,URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,Spam,urgent tri contact last weekend draw show u prize guarant call claim code k valid hr p pm
545,546,:-( sad puppy noise,Non-Spam,sad puppi noi
199,200,"Lol, oh you got a friend for the dog ?",Non-Spam,lol oh got friend dog
660,661,Will you come online today night,Non-Spam,come onlin today night
29,30,Yeah it's jus rite...,Non-Spam,yeah ju rite
112,113,"Sorry, I'll call later",Non-Spam,sorri call later
876,877,Ok no prob,Non-Spam,ok prob
251,252,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",Non-Spam,good morn love go sleep wish great day full feel better opportun last thought babe love kiss
878,879,Hmmm.but you should give it on one day..,Non-Spam,hmmm give one day
659,660,Then anything special?,Non-Spam,anyth special
156,157,East coast,Non-Spam,east coast
671,672,Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,Spam,want latest video handset anytim ani network min half price line rental repli call deliveri tomorrow
480,481,I wont do anything de.,Non-Spam,wont anyth de
330,331,"Jay wants to work out first, how's 4 sound?",Non-Spam,jay want work first sound
182,183,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,Non-Spam,much fight wa good nite
769,770,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,Spam,santa call would littl one like call santa xma eve call book time call ppm last min c www santacal com
300,301,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",Spam,prize go anoth custom c www c biz p min polo ltd suit london w j hl plea call back busi
124,125,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,Non-Spam,back good journey let know need ani receipt shall tell like pendent
846,847,Forgot to tell ü smth.. Can ü like number the sections so that it's clearer..,Non-Spam,forgot tell smth like number section clearer
48,49,Thats cool. I want to please you...,Non-Spam,cool want plea
820,821,Orh i tot u say she now still dun believe.,Non-Spam,orh tot u say still dun believ
535,536,Hey... Very inconvenient for your sis a not huh?,Non-Spam,hey veri inconveni si huh
327,328,Hmm thinking lor...,Non-Spam,hmm think lor
864,865,Anytime...,Non-Spam,anytim
692,693,Wat happened to the cruise thing,Non-Spam,wat happen crui thing
492,493,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921",Spam,thi nd attempt contract u thi week top prize either cash prize call
773,774,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,Non-Spam,u ask next sat make ok lor
103,104,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam,get garden readi summer free select summer bulb seed worth onli scotsman thi saturday stop go notxt co uk
161,162,There is a first time for everything :),Non-Spam,first time everyth
595,596,Hey come online! Use msn... We are all there,Non-Spam,hey come onlin use msn
601,602,"A few people are at the game, I'm at the mall with iouri and kaila",Non-Spam,peopl game mall iouri kaila
50,51,No. I dont want to hear anything,Non-Spam,dont want hear anyth
731,732,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",Non-Spam,oh rite well im best mate pete went week geva longer week
39,40,Compliments to you. Was away from the system. How your side.,Non-Spam,compliment wa away system side
568,569,Can you talk with me..,Non-Spam,talk
486,487,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),Non-Spam,amaz rearrang letter give mean dormitori dirti room astronom moon starer eye see elect result lie let recount mother law woman hitler eleven plu two twelv plu one amaz
602,603,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,Spam,dear voucher holder next meal us use follow link pc enjoy dine experiencehttp www vouch com etlp dine asp
474,475,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",Non-Spam,hi shanil rakhesh thank exchang uncut diamond stuff leav back excel servic dino prem
523,524,O ic lol. Should play 9 doors sometime yo,Non-Spam,ic lol play door sometim yo
479,480,What type of stuff do you sing?,Non-Spam,type stuff sing
121,122,"Latest News! Police station toilet stolen, cops have nothing to go on!",Spam,latest news polic station toilet stolen cop noth go
514,515,Lmao you know me so well...,Non-Spam,lmao know well
347,348,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",Non-Spam,jane babe goin wrk feel ill lst nite fone alreadi cover chuck
900,901,Not..tel software name..,Non-Spam,tel softwar name
825,826,Many more happy returns of the day. I wish you happy birthday.,Non-Spam,mani happi return day wish happi birthday
325,326,thanks for the temales it was wonderful. Thank. Have a great week.,Non-Spam,thank temal wa wonder thank great week
491,492,"Well, i'm glad you didn't find it totally disagreeable ... Lol",Non-Spam,well glad find total disagr lol
724,725,"Awesome, that gonna be soon or later tonight?",Non-Spam,awesom gonna soon later tonight
131,132,Hey i've booked the 2 lessons on sun liao...,Non-Spam,hey v book lesson sun liao
777,778,We're on the opposite side from where we dropped you off,Non-Spam,r opposit side drop
306,307,Pls speak with me. I wont ask anything other then you friendship.,Non-Spam,pl speak wont ask anyth friendship
100,101,I thought slide is enough.,Non-Spam,thought slide enough
703,704,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,Spam,bore housew chat n date bt nation rate p min onli landlin
122,123,"aight we can pick some up, you open before tonight?",Non-Spam,aight pick open befor tonight
77,78,I think if he rule tamilnadu..then its very tough for our people.,Non-Spam,think rule tamilnadu veri tough peopl
693,694,Lol! Oops sorry! Have fun. ,Non-Spam,lol oop sorri fun
89,90,Shall call now dear having food,Non-Spam,shall call dear food
435,436,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",Non-Spam,hmm dunno leh mayb bag goigng dat small ju anyth except perfum smth dat keep
341,342,I re-met alex nichols from middle school and it turns out he's dealing!,Non-Spam,met alex nichol middl school turn deal
146,147,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,Non-Spam,u horribl gal u knew dat wa go wif yest n u still come n ask
507,508,I think i am disturbing her da,Non-Spam,think disturb da
106,107,I will treasure every moment we spend together...,Non-Spam,treasur everi moment spend togeth
652,653,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,Non-Spam,v alreadi got flaki parent snot suppo child job support parent r ride age anyway suppo support v hurt unintent hurt nonetheless
388,389,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",Non-Spam,babe fuck love know fuck wa good hear voic need crave get enough ador ahmad kiss
923,924,Sorry i din lock my keypad.,Non-Spam,sorri din lock keypad
252,253,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",Non-Spam,k fyi back parent place south tampa might need deal somewh el
637,638,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",Spam,got take take part wrc ralli oz u lucozad energi text ralli le p see pack lucozad co uk wrc itcould u
552,553,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,Non-Spam,hello boytoy geeee miss today like send tm remind think love love kiss
109,110,Ok i thk i got it. Then u wan me 2 come now or wat?,Non-Spam,ok thk got u wan come wat
12,13,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit,Non-Spam,next lt gt hour imma flip shit
721,722,Missing you too.pray inshah allah,Non-Spam,miss pray inshah allah
75,76,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",Non-Spam,good afternoon love goe day sleep hope well boytoy think
293,294,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,Non-Spam,dunno leh cant rememb mayb lor wat time r meet tmr
741,742,I am going to sleep. I am tired of travel.,Non-Spam,go sleep tire travel
903,904,No. Yes please. Been swimming?,Non-Spam,ye pleas swim
534,535,Ok i vl..do u know i got adsense approved..,Non-Spam,ok vl u know got adsen approv
549,550,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,Spam,dear xxxxxxx u v invit xchat thi final attempt contact u txt chat p msgrcvdhg suit land row w j hl ldn yr
524,525,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,Spam,jamster get free wallpap text heart c appli need help call
203,204,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,Non-Spam,tri figur suppo see coupl differ peopl thi week said get togeth set date
827,828,We have pizza if u want,Non-Spam,pizza u want
397,398,Oh k. . I will come tomorrow,Non-Spam,oh k come tomorrow
730,731,Yay can't wait to party together!,Non-Spam,yay wait parti togeth
155,156,You should get more chicken broth if you want ramen unless there's some I don't know about,Non-Spam,get chicken broth want ramen unless know
806,807,I'm home. Doc gave me pain meds says everything is fine.,Non-Spam,home doc gave pain med say everyth fine
910,911,"K, I'll work something out",Non-Spam,k work someth
899,900,I send the print  outs da.,Non-Spam,send print da
174,175,As in i want custom officer discount oh.,Non-Spam,want custom offic discount oh
690,691,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,Spam,lyricalladi f invit friend repli ye see www sm ac u hmmross stop send stop frnd
10,11,Get me out of this dump heap. My mom decided to come to lowes. BORING.,Non-Spam,get thi dump heap mom decid come low bore
496,497,As in different styles?,Non-Spam,differ style
115,116,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,Non-Spam,wish beauti day moment reveal even thing keep smile enjoy
373,374,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,Non-Spam,darren wa say dat u meet da ge den dun meet dinner co later u leav xy feel awkward den u meet lunch lor
205,206,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),Spam,call send girl erot ecstaci p min stop text call nat rate
55,56,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,Non-Spam,great role model give much realli wish day miracl god reason everyth must say wish knew whi dont v look sinc wa young still great day
234,235,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,Non-Spam,pride almost lt gt year old takin money kid r suppo deal thi stuff thi grownup stuff whi tell
117,118,Except theres a chick with huge boobs.,Non-Spam,except chick huge boob
209,210,"Hey, iouri gave me your number, I'm wylie, ryan's friend",Non-Spam,hey iouri gave number wyli ryan friend
799,800,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,Spam,uniqu user id remov send stop custom servic
272,273,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,Non-Spam,darl sister school resum minimum wait period befor reappli take care
938,939,Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,Spam,today voda number end select receiv reward match plea call quot claim code standard rate appli
628,629,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,Non-Spam,wa cancel yeah babi well sound import understand darlin give ring later thi fone love kate x
374,375,Ok... Take ur time n enjoy ur dinner...,Non-Spam,ok take ur time n enjoy ur dinner
246,247,Aah bless! How's your arm?,Non-Spam,aah bless arm
95,96,Dhoni have luck to win some big title.so we will win:),Non-Spam,dhoni luck win big titl win
808,809,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,Spam,urgent mobil number ha award prize guarante call land line claim valid hr onli ppm
248,249,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,Non-Spam,ok problem yup go sch rem correctli
502,503,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,Non-Spam,brother transfer onli lt gt lt gt pa
772,773,Sorry that was my uncle. I.ll keep in touch,Non-Spam,sorri wa uncl keep touch
304,305,Gud ni8.swt drms.take care,Non-Spam,gud ni swt drm take care
564,565,You still around? Looking to pick up later,Non-Spam,still around look pick later
911,912,Our Prasanth ettans mother passed away last night. Just pray for her and family.,Non-Spam,prasanth ettan mother pass away last night pray famili
376,377,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Non-Spam,oh oh den muz chang plan liao go back yan jiu
154,155,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,Non-Spam,slave want take pictur today bright light cell phone bright light
888,889,It is a good thing I'm now getting the connection to bw,Non-Spam,good thing get connect bw
284,285,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",Spam,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
457,458,I've reached sch already...,Non-Spam,v reach sch alreadi
275,276,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,Spam,xma iscom ur award either cd gift voucher free entri r weekli draw txt music tnc www ldew com win ppmx age subscript
849,850,"K will do, addie &amp; I are doing some art so I'll be here when you get home",Non-Spam,k addi amp art get home
794,795,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",Non-Spam,hi mobil lt gt ha ad contact list www fullonsm com great place send free sm peopl visit fullonsm com
746,747,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,Spam,check choo babe video sm shsex netun fgkslpopw fgkslpo
826,827,"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh""",Non-Spam,keep see weird shit bein woah reali actual reason oh
128,129,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",Non-Spam,thought get watch co kind thing u get th love much
101,102,Ok lor.,Non-Spam,ok lor
344,345,OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,Non-Spam,oh fuck juswok bed boatin dock slept wid year old spinout giv u da gossip l r xxx
296,297,Its too late:)but its k.wish you the same.,Non-Spam,late k wish
420,421,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),Non-Spam,k come wenev u lik come also tel vikki come get free time
410,411,I will come with karnan car. Please wait till 6pm will directly goto doctor.,Non-Spam,come karnan car plea wait till pm directli goto doctor
594,595,I'm fine. Hope you are good. Do take care.,Non-Spam,fine hope good take care
33,34,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,Spam,want explicit sex sec ring cost p min gsex pobox wc n xx
61,62,Lol they were mad at first but then they woke up and gave in.,Non-Spam,lol mad first woke gave
408,409,Ok... Then r we meeting later?,Non-Spam,ok r meet later
623,624,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,Non-Spam,check mail mail varma kept copi regard membership tak care insha allah
414,415,"Like  &lt;#&gt; , same question",Non-Spam,like lt gt question
732,733,I hope your pee burns tonite.,Non-Spam,hope pee burn tonit
952,953,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,Non-Spam,favourit person today r u workin hard sleep last nite nearli rang u
125,126,"And that's fine, I got enough bud to last most of the night at least",Non-Spam,fine got enough bud last night least
669,670,I cant pick the phone right now. Pls send a message,Non-Spam,cant pick phone right pl send messag
383,384,I just cooked a rather nice salmon a la you,Non-Spam,cook rather nice salmon la
334,335,Ok cool. See ya then.,Non-Spam,ok cool see ya
207,208,I'm in inside office..still filling forms.don know when they leave me.,Non-Spam,insid offic stil fill form know leav
823,824,I am in hospital da. . I will return home in evening,Non-Spam,hospit da return home even
393,394,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,Non-Spam,raji pl favour pl convey birthday wish nimya pl today birthday
588,589,JADE ITS PAUL. Y DIDNT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,Non-Spam,jade paul u txt u rememb barm want talk u txt
229,230,Are u awake? Is there snow there?,Non-Spam,u awak snow
71,72,Now get step 2 outta the way. Congrats again.,Non-Spam,get step outta way congrat
444,445,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",Non-Spam,imposs argu alway treat like hi sub like never relea remind necessari
134,135,Mode men or have you left.,Non-Spam,mode men left
767,768,I dont know why she.s not getting your messages,Non-Spam,dont know whi get messag
680,681,Or just do that 6times,Non-Spam,time
324,325,Thank you princess! I want to see your nice juicy booty...,Non-Spam,thank princess want see nice juici booti
476,477,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",Non-Spam,fri ah oki lor goin drivin den go shoppin tt
578,579,Which channel:-):-):):-).,Non-Spam,channel
745,746,Im good! I have been thinking about you...,Non-Spam,im good think
267,268,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,Non-Spam,lt gt buck bank fee fix better call bank find
892,893,I'm leaving my house now.,Non-Spam,leav hou
828,829,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,Non-Spam,bought test yesterday someth let know exact day u ovul get u wk pl pl dont fret know u r worri pl relax also anyth ur past histori u need tell
886,887,"That's cool he'll be here all night, lemme know when you're around",Non-Spam,cool night lemm know r around
454,455,Argh why the fuck is nobody in town ;_;,Non-Spam,argh whi fuck nobodi town
9,10,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,Non-Spam,ok lor soni ericsson salesman ask shuhui say quit gd use consid
498,499,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),Non-Spam,hai dear friend thi new amp present number rajitha raj ranju
402,403,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,Non-Spam,dun believ leh tot told true alreadi thk muz c us tog believ
227,228,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",Spam,u r subscrib textcomp wkli comp st wk free question follow subsequ wk charg p msg unsubscrib txt stop custcar
672,673,Convey my regards to him,Non-Spam,convey regard
761,762,Sorry for the delay. Yes masters,Non-Spam,sorri delay ye master
45,46,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,Non-Spam,want tell bad feel basic onli time text late need drug
629,630,G wants to know where the fuck you are,Non-Spam,g want know fuck
503,504,I dunno lei... Like dun haf...,Non-Spam,dunno lei like dun haf
757,758,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",Non-Spam,worri though understand import put place poorli thought punish face worst thing ha ever happen brb gonna go kill
411,412,K k:) sms chat with me.,Non-Spam,k k sm chat
809,810,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",Non-Spam,hey look like wa wrong one kappa guy number still phone want text see around
193,194,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,Spam,current lead bid pau thi auction send custom care
499,500,Talk to g and x about that,Non-Spam,talk g x
505,506,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,Non-Spam,havent stuck orchard dad car go dinner u leh r free tonight
638,639,Just hopeing that wasnt too pissed up to remember and has gone off to his sisters or something!,Non-Spam,hope piss rememb ha gone hi sister someth
868,869,Don no da:)whats you plan?,Non-Spam,da plan
173,174,That's necessarily respectful,Non-Spam,necessarili respect
147,148,"Sorry, I'll call later",Non-Spam,sorri call later
74,75,Yes... I trust u to buy new stuff ASAP so I can try it out,Non-Spam,ye trust u buy new stuff asap tri
239,240,Dude im no longer a pisces. Im an aquarius now.,Non-Spam,dude im longer pisc im aquariu
97,98,Ok lor ü reaching then message me.,Non-Spam,ok lor reach messag
614,615,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",Spam,welcom select servic ad benefit call special train advisor free mobil diall
151,152,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),Non-Spam,bruce amp fowler mom car park long stori
200,201,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,Spam,date two onli start sent text talk sport radio last week ani connect think coincid
430,431,Yup... I havent been there before... You want to go for the yoga? I can call up to book ,Non-Spam,yup havent want go yoga call book
363,364,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,Spam,mobil mth updat free orang latest colour camera mobil unlimit weekend call call mobil upd freefon stoptxt
65,66,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,Non-Spam,told befor tell stupid hear wont tell anyth dad call brother spoken
800,801,Whens your radio show?,Non-Spam,radio show
532,533,I want to go to perumbavoor,Non-Spam,want go perumbavoor
760,761,Call me when u finish then i come n pick u.,Non-Spam,call u finish come n pick u
901,902,Ok set let u noe e details later...,Non-Spam,ok set let u noe e detail later
649,650,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",Spam,thi nd time tri contact u u pound prize claim easi call onli p per min bt nation r
683,684,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",Non-Spam,new theori argument win situat lose person dont argu ur friend kick amp say alway correct
508,509,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,Spam,free video camera phone half price line rental mth cross ntwk min txt call mobileupd call optout
843,844,HELLO PEACH! MY CAKE TASTS LUSH!,Non-Spam,hello peach cake tast lush
52,53,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",Non-Spam,way v put skip right outsid front hou see hou pull befor
685,686,When/where do I pick you up,Non-Spam,wher pick
231,232,So when do you wanna gym?,Non-Spam,wanna gym
881,882,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",Non-Spam,alright bring see like lt gt min
